Title,Link,Summary
Видишь бутылку? Пуф-ф-ф — и она испарилась. Новый метод переработки пластика,https://habr.com/ru/companies/ru_mts/articles/851146/,"«На небе только и разговоров, что о море». Интересно, а говорят ли там о пластике, которого в нем полно? Он загрязняет океаны, почвы, атмосферу, наносит вред локальным и глобальной экосистемам — вы все это и так знаете. Можно еще вспомнить Большое тихоокеанское мусорное пятно, но зачем расстраиваться. Убрать бы все это, но как? Ученые постоянно ищут способы, как утилизировать пластик безопасно и эффективно. Одна из новых перспективных разработок — преобразование пластмасс в газ без каких-либо вредных побочек. Более того, получаемые в результате переработки продукты можно еще и применять в промышленности с пользой для человека. В посте расскажу о принципе действия этой технологии, ее перспективах и значении для окружающей среды. Поехали!"
Конец эпохи: историческая миссия Landsat 7 делает последние снимки,https://habr.com/ru/articles/851124/,"Спутник Landsat 7, созданный совместно Геологической службой США (USGS) и НАСА, изначально был рассчитан на пятилетнюю миссию. Преодолев все трудности, спутник наблюдал за Землёй в течение четверти века, предоставляя бесценные научные данные на благо всего человечества.Landsat 7 сделал один из своих последних снимков 28 мая над Лас-Вегасом, штат Невада."
Машинный перевод GPT-4o статьи «Uncensor any LLM with abliteration»,https://habr.com/ru/articles/851120/,"Современные языковые модели (LLM) настроены на безопасность и выполнение инструкций, что означает, что они обучены отказывать в выполнении вредных запросов. В своем блоге Ардити и др. показали, что это поведение отказа связано с определенным направлением в остаточном потоке модели. Если мы предотвратим представление этого направления в модели, она потеряет способность отказывать в запросах. Напротив, искусственное добавление этого направления может привести к тому, что модель будет отказывать даже в безобидных запросах. В традиционной архитектуре только декодера, подобной Llama, есть три остаточных потока, на которые мы можем нацелиться: в начале каждого блока (""pre""), между слоями внимания и MLP (""mid"") и после MLP (""post""). Следующая иллюстрация показывает расположение каждого остаточного потока."
«Письмо» атомами может изменить производство материалов для квантовых устройств,https://habr.com/ru/articles/851118/,"Новая технология непрерывного размещения отдельных атомов именно там, где они нужны, может привести к созданию новых материалов для устройств, которые удовлетворят критические потребности в области квантовых вычислений и коммуникаций и которые невозможно получить обычными способами, говорят учёные, разработавшие её.Исследовательская группа из Ок-Риджской национальной лаборатории Министерства энергетики создала новый усовершенствованный инструмент микроскопии, позволяющий «писать» атомами, помещая их именно туда, где они нужны, чтобы придать материалу новые свойства.«Работая в атомном масштабе, мы также работаем в масштабе, где квантовые свойства возникают и сохраняются естественным образом», — говорит Стивен Джесси, материаловед, возглавляющий отдел характеристик наноматериалов в Центре нанофазных материалов ORNL, или CNMS."
Как я получил 50000 + 0 долларов за уязвимость в Zendesk,https://habr.com/ru/companies/ruvds/articles/851106/,"Привет, меня зовут Дэниел, мне пятнадцать лет, я имею опыт программирования, в свободное время занимаюсь поиском багов. В посте я расскажу безумную историю о том, как обнаружил один баг, затронувший больше половины компаний из списка Fortune 500.

Поприветствуйте Zendesk
Возможно, вы уже сталкивались с Zendesk. Это инструмент службы поддержки, используемый одними из самых богатых компаний мира. Он прост в настройке: достаточно указать ссылку на электронную почту технической поддержки компании (вида support@company.com), и Zendesk сразу начнёт обрабатывать входящие письма и создавать тикеты. Вы можете работать с этими тикетами самостоятельно или передавать их команде службы поддержки. Компания Zendesk стоит несколько миллиардов долларов, ей доверяют такие крупные игроки, как Cloudflare.

Лично мне всегда казалось удивительным, что такие огромные компании, стоящие миллиарды долларов, используют сторонние инструменты наподобие Zendesk, а не создают собственные инструменты для работы с тикетами.

Ваше самое слабое звено
Как гласит поговорка, «где тонко, там и рвётся». Так как Zendesk считается базовым инструментом обработки тикетов, компании часто настраивают его, особо не задумываясь. Чаще всего я встречал такую систему: все электронные письма с support@company.com перенаправляются в Zendesk.

Почему это опасно? Многие компании используют свой домен company.com для единого входа (Single Sign-On, SSO), позволяющего сотрудникам быстро выполнять вход во внутренние инструменты. Связывая Zendesk с тем же доменом, компании неосознанно создают потенциальную брешь в защите. Zendesk обрабатывает все письма домена, для которого он был сконфигурирован, поэтому если ваша система SSO не валидирует надлежащим образом адреса электронной почты, то любой, получивший доступ к вашему Zendesk, потенциально может воспользоваться этим для доступа к вашим внутренним системам (подробнее я расскажу об этом ниже)."
Как перевести деньги из Армении в Россию и наоборот,https://habr.com/ru/articles/851114/,"Армения, наряду с Киргизией и Казахстаном по-прежнему сохраняет статус страны - финансового посредника между Россией и остальным миром. Какие доступные способы перевода денег в Армению из России и из Армении в Россию остались существуют на данный момент?"
ТРИЗ для IT-директора,https://habr.com/ru/articles/851110/,"Добрый день. Я Алексей Благих, председатель The International Business TRIZ Association Russia (IBTA RUSSIA)На офлайн-конференциях и под статьями в интернете, у меня достаточно часто спрашивают, возможно ли интегрировать ТРИЗ для бизнеса в IT-сферу. Повысит ли это эффективность сотрудников в формировании инновационных идей и их последующем внедрении. Чтобы ответить на эти вопросы, я пригласил в качестве собеседника Павла Васильева, экс-директора по развитию телеком-компании РЕКОНН (нынешнего руководителя проекта фирмы 1С) и взял у него интервью."
Технология проектирования хранилищ данных Data Vault 2.0,https://habr.com/ru/articles/850280/,"Data Vault 2.0 остаётся одним из самых популярных методов моделирования данных. Его выбирают за гибкость, масштабируемость и устойчивость к изменениям. Этот разработанный Дэном Линстедом подход помогает организациям быстро адаптироваться к новым бизнес-требованиям, легко интегрировать новые источники данных и надёжно хранить исторические данные.Эта статья будет полезна дата-инженерам, аналитикам данных, архитекторам данных и бизнес-аналитикам. Она поможет усовершенствовать умения в моделировании данных. Мы рассмотрим ключевые принципы Data Vault 2.0 и на практическом примере покажем, как разложить сырые данные по Data Vault 2.0."
Как Лента формирует эффективный ассортимент на основе данных,https://habr.com/ru/companies/lentatech/articles/851086/,"Привет, Habr! Меня зовут Катя, я продакт-менеджер BigData в группе компаний «Лента», отвечаю за развитие цифровых продуктов блоков «Ассортимент» и «Ценообразование». В этой статье расскажу про путь к управлению ассортиментом на основе данных и наш флагман – приложение Deli – рабочее место, в котором менеджер анализирует матрицу своих категорий и вносит в нее изменения на основе рекомендаций алгоритма."
Допечатываем ту самую «Математику в машинном обучении»,https://habr.com/ru/companies/piter/articles/851102/,"Друзья, рады сообщить, что скоро выйдет очередная допечатка замечательной книги «Математика в машинном обучении». Мы получили на нее массу положительных отзывов (средняя оценка 4.9 на Озоне, 5.0 на Wildberries).

К сожалению, не обошлось без огрехов, в таком сложном тексте это практически невозможно. 

Во время создания русской версии Mathematics for Machine Learning от Cambridge University Press помимо эрраты мы дополнительно учли и исправили более 500 замечаний и ляпов, найденных зарубежными читателями в англоязычной книге (issues на github), плюс десятки нашли самостоятельно."
